iter,total,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,reward_per_step,ips,env_steps
4050,8000.0,24.72,18.12,6.44,0.137,0.019,-0.003,1.68,-0.003,0.74,0.63,0.64,2.66,-0.49,2.17,0.0156,2.8,129600
4100,8000.0,31.61,23.83,7.61,0.157,0.011,-0.006,1.545,-0.006,0.73,0.6,0.62,2.64,-0.48,2.15,0.0098,2.8,131200
4150,8000.0,31.76,24.4,7.18,0.169,0.016,-0.013,1.795,-0.012,0.62,0.51,0.57,2.63,-0.48,2.14,0.0105,2.8,132800
4200,8000.0,35.13,27.08,7.87,0.166,0.01,-0.006,1.785,-0.006,0.69,0.58,0.57,2.59,-0.48,2.11,0.0081,2.8,134400
4250,8000.0,29.68,22.53,7.01,0.138,0.01,-0.006,1.698,-0.006,0.74,0.46,0.47,2.56,-0.47,2.09,0.0145,2.8,136000
4300,8000.0,26.72,19.58,6.97,0.154,0.019,-0.008,1.638,-0.008,0.6,0.52,0.56,2.53,-0.47,2.06,0.0141,2.8,137600
4350,8000.0,24.37,17.27,6.97,0.127,0.006,-0.003,1.543,-0.003,0.73,0.65,0.66,2.51,-0.47,2.05,0.006,2.8,139200
4400,8000.0,28.14,20.81,7.24,0.085,0.008,0.001,1.663,0.001,0.79,0.34,0.33,2.49,-0.47,2.02,0.0071,2.8,140800
4450,8000.0,23.0,16.01,6.84,0.138,0.007,-0.004,1.727,-0.004,0.67,0.24,0.25,2.48,-0.48,2.01,0.0076,2.8,142400
4500,8000.0,32.07,25.32,6.62,0.113,0.011,-0.003,1.518,-0.003,0.83,0.47,0.49,2.48,-0.49,1.99,0.0093,2.8,144000
4550,8000.0,22.36,16.44,5.79,0.122,0.012,-0.008,1.626,-0.008,0.79,0.46,0.48,2.47,-0.49,1.98,0.0172,2.8,145600
4600,8000.0,23.81,16.48,7.14,0.173,0.016,0.006,1.743,0.006,0.76,0.56,0.53,2.45,-0.49,1.96,0.0092,2.8,147200
4650,8000.0,30.24,23.19,6.92,0.131,0.011,0.028,2.133,0.028,0.79,0.65,0.52,2.44,-0.5,1.94,0.015,2.8,148800
4700,8000.0,32.07,24.38,7.56,0.121,0.01,-0.007,1.656,-0.007,0.78,0.5,0.51,2.42,-0.49,1.94,0.0142,2.8,150400
4750,8000.0,32.09,24.55,7.41,0.118,0.007,-0.006,1.692,-0.006,0.7,0.33,0.34,2.43,-0.5,1.94,0.0131,2.8,152000
4800,8000.0,33.43,25.23,8.07,0.119,0.01,0.003,1.725,0.003,0.76,0.45,0.43,2.42,-0.5,1.92,0.0051,2.8,153600
4850,8000.0,23.77,17.49,6.12,0.156,0.003,-0.003,1.74,-0.003,0.72,0.43,0.44,2.43,-0.5,1.94,0.0044,2.8,155200
4900,8000.0,33.11,25.38,7.64,0.082,0.01,0.013,1.963,0.013,0.65,0.52,0.44,2.46,-0.5,1.96,0.0029,2.8,156800
4950,8000.0,23.96,17.43,6.39,0.135,0.014,-0.0,1.725,0.0,0.67,0.54,0.54,2.45,-0.49,1.96,0.0116,2.8,158400
5000,8000.0,24.02,17.74,6.2,0.069,0.007,-0.001,1.763,-0.001,0.67,0.45,0.44,2.47,-0.51,1.96,0.0088,2.8,160000
5050,8000.0,38.31,28.97,9.22,0.119,0.008,-0.004,1.693,-0.003,0.68,0.75,0.76,2.46,-0.51,1.95,0.0081,2.8,161600
5100,8000.0,32.0,23.72,8.12,0.149,0.014,-0.003,1.661,-0.003,0.66,0.49,0.51,2.44,-0.51,1.94,0.0094,2.8,163200
5150,8000.0,24.98,18.24,6.56,0.168,0.012,-0.006,1.736,-0.006,0.73,0.54,0.56,2.44,-0.52,1.92,0.0188,2.8,164800
5200,8000.0,23.45,16.25,7.09,0.106,0.009,0.008,1.865,0.008,0.72,0.66,0.59,2.45,-0.52,1.93,0.0057,2.8,166400
5250,8000.0,23.7,16.83,6.71,0.147,0.016,-0.002,1.795,-0.002,0.72,0.37,0.37,2.47,-0.53,1.94,0.004,2.8,168000
5300,8000.0,27.25,19.26,7.81,0.174,0.014,-0.003,1.631,-0.003,0.7,0.7,0.71,2.49,-0.53,1.96,0.0128,2.8,169600
5350,8000.0,24.88,17.57,7.23,0.076,0.008,-0.005,1.744,-0.005,0.69,0.58,0.58,2.47,-0.52,1.95,0.0069,2.8,171200
5400,8000.0,21.66,14.7,6.86,0.093,0.012,-0.002,1.788,-0.002,0.76,0.29,0.29,2.48,-0.52,1.96,0.0108,2.8,172800
5450,8000.0,26.56,18.96,7.49,0.115,0.005,-0.007,1.601,-0.006,0.75,0.46,0.48,2.47,-0.51,1.95,0.0086,2.8,174400
5500,8000.0,33.81,25.41,8.25,0.146,0.005,-0.004,1.677,-0.003,0.68,0.76,0.76,2.48,-0.51,1.97,0.0125,2.8,176000
5550,8000.0,22.93,16.32,6.49,0.113,0.009,-0.001,1.663,-0.001,0.71,0.74,0.73,2.48,-0.5,1.98,0.0104,2.8,177600
5600,8000.0,26.33,18.41,7.85,0.072,0.005,-0.008,1.638,-0.008,0.66,0.51,0.53,2.49,-0.51,1.98,0.0106,2.8,179200
5650,8000.0,28.06,19.76,8.13,0.156,0.009,-0.003,2.045,-0.003,0.69,0.5,0.49,2.5,-0.51,1.99,0.0129,2.8,180800
5700,8000.0,23.31,15.23,7.94,0.128,0.011,-0.003,1.729,-0.003,0.69,0.31,0.31,2.51,-0.52,1.99,0.0038,2.8,182400
5750,8000.0,29.43,21.61,7.71,0.101,0.008,0.006,1.878,0.006,0.76,0.44,0.41,2.52,-0.53,1.99,0.0078,2.8,184000
5800,8000.0,23.55,16.14,7.29,0.106,0.013,-0.007,1.663,-0.007,0.77,0.65,0.67,2.51,-0.52,1.99,0.0127,2.8,185600
5850,8000.0,28.53,20.3,8.0,0.215,0.02,-0.004,1.667,-0.003,0.82,0.52,0.53,2.51,-0.52,1.99,0.0091,2.8,187200
5900,8000.0,26.54,18.58,7.84,0.126,0.006,-0.002,1.74,-0.002,0.87,0.58,0.57,2.5,-0.51,1.99,0.0114,2.8,188800
5950,8000.0,24.67,17.21,7.34,0.11,0.004,0.012,1.986,0.012,0.75,0.4,0.35,2.53,-0.51,2.02,0.0213,2.8,190400
6000,8000.0,23.86,16.18,7.51,0.159,0.017,-0.0,1.589,0.0,0.72,0.71,0.71,2.53,-0.5,2.03,0.0191,2.8,192000
6050,8000.0,28.24,20.2,7.89,0.143,0.012,0.001,1.924,0.001,0.7,0.51,0.49,2.56,-0.49,2.07,0.0175,2.8,193600
6100,8000.0,26.9,18.76,7.97,0.15,0.016,0.001,1.62,0.001,0.78,0.57,0.55,2.57,-0.49,2.08,0.0175,2.8,195200
6150,8000.0,29.45,20.5,8.75,0.178,0.016,-0.001,1.582,-0.001,0.71,0.79,0.79,2.59,-0.49,2.1,0.011,2.8,196800
6200,8000.0,31.54,22.42,9.07,0.051,0.002,-0.002,1.687,-0.002,0.69,0.66,0.64,2.59,-0.47,2.12,0.0088,2.8,198400
6250,8000.0,24.34,16.55,7.66,0.12,0.006,0.008,1.707,0.008,0.65,0.79,0.76,2.59,-0.47,2.12,0.013,2.8,200000
6300,8000.0,24.88,17.0,7.74,0.13,0.01,-0.007,1.855,-0.007,0.69,0.56,0.58,2.61,-0.47,2.14,0.0106,2.8,201600
6350,8000.0,32.36,24.0,8.22,0.131,0.004,-0.003,1.787,-0.003,0.67,0.77,0.77,2.62,-0.47,2.15,0.0155,2.8,203200
6400,8000.0,28.93,20.69,8.1,0.132,0.008,-0.001,1.616,-0.001,0.66,0.69,0.68,2.65,-0.48,2.17,0.0144,2.8,204800
6450,8000.0,24.21,16.47,7.62,0.112,0.007,0.006,1.779,0.006,0.71,0.63,0.6,2.65,-0.48,2.17,0.0194,2.8,206400
6500,8000.0,23.77,16.27,7.37,0.119,0.011,-0.003,1.69,-0.003,0.64,0.74,0.73,2.65,-0.47,2.18,0.0119,2.8,208000
6550,8000.0,28.03,20.02,7.88,0.122,0.007,-0.007,1.698,-0.007,0.6,0.64,0.66,2.65,-0.46,2.19,0.0178,2.8,209600
6600,8000.0,24.94,17.27,7.6,0.066,0.003,0.002,1.72,0.003,0.6,0.79,0.77,2.66,-0.47,2.19,0.0174,2.8,211200
6650,8000.0,27.04,18.29,8.64,0.099,0.008,-0.006,1.574,-0.006,0.6,0.81,0.84,2.66,-0.46,2.2,0.0146,2.8,212800
6700,8000.0,27.21,18.92,8.2,0.082,0.003,-0.001,1.717,-0.001,0.66,0.29,0.28,2.68,-0.46,2.21,0.0184,2.8,214400
6750,8000.0,25.01,17.07,7.83,0.099,0.007,-0.01,1.845,-0.01,0.63,0.52,0.55,2.7,-0.47,2.23,0.01,2.8,216000
6800,8000.0,18.13,11.69,6.28,0.152,0.008,-0.003,1.702,-0.003,0.52,0.69,0.7,2.7,-0.47,2.23,0.018,2.8,217600
6850,8000.0,24.83,16.65,8.02,0.155,0.011,0.013,2.062,0.013,0.7,0.44,0.35,2.71,-0.48,2.23,0.0162,2.8,219200
6900,8000.0,25.82,17.76,7.93,0.122,0.009,0.008,1.889,0.009,0.61,0.73,0.69,2.71,-0.47,2.23,0.0131,2.8,220800
6950,8000.0,28.44,19.97,8.32,0.138,0.014,0.001,1.664,0.001,0.69,0.63,0.62,2.7,-0.47,2.23,0.0175,2.8,222400
7000,8000.0,24.5,16.18,8.19,0.127,0.003,-0.0,1.644,0.0,0.58,0.47,0.47,2.69,-0.47,2.22,0.0116,2.8,224000
7050,8000.0,23.41,15.66,7.58,0.16,0.014,-0.001,1.693,-0.001,0.57,0.5,0.5,2.7,-0.47,2.22,0.0155,2.8,225600
7100,8000.0,31.17,21.3,9.7,0.163,0.007,-0.004,1.627,-0.004,0.59,0.53,0.55,2.68,-0.47,2.21,0.0173,2.8,227200
7150,8000.0,24.79,16.5,8.13,0.141,0.015,-0.0,1.481,-0.0,0.76,0.51,0.51,2.66,-0.48,2.18,0.0223,2.8,228800
7200,8000.0,23.78,15.18,8.46,0.125,0.007,-0.004,1.727,-0.004,0.71,0.46,0.48,2.66,-0.48,2.18,0.0065,2.8,230400
7250,8000.0,34.39,25.45,8.82,0.111,0.009,-0.009,1.5,-0.009,0.68,0.59,0.63,2.63,-0.47,2.15,0.016,2.8,232000
7300,8000.0,28.02,19.93,7.95,0.134,0.011,-0.002,1.734,-0.002,0.64,0.42,0.41,2.61,-0.48,2.13,0.0108,2.8,233600
7350,8000.0,27.77,19.49,8.18,0.093,0.005,-0.008,1.53,-0.008,0.57,0.77,0.81,2.6,-0.48,2.12,0.0235,2.8,235200
7400,8000.0,27.83,18.98,8.7,0.144,0.009,-0.001,1.613,-0.001,0.7,0.19,0.19,2.59,-0.48,2.11,0.0148,2.8,236800
7450,8000.0,28.53,20.16,8.26,0.105,0.003,-0.002,1.675,-0.001,0.65,0.48,0.47,2.57,-0.48,2.08,0.0143,2.8,238400
7500,8000.0,25.66,17.17,8.34,0.131,0.014,-0.007,1.621,-0.006,0.63,0.39,0.41,2.56,-0.49,2.07,0.0165,2.8,240000
7550,8000.0,23.53,15.46,7.91,0.147,0.019,-0.01,1.859,-0.009,0.65,0.24,0.27,2.54,-0.49,2.05,0.0214,2.8,241600
7600,8000.0,29.51,20.28,9.09,0.136,0.01,-0.001,1.602,-0.001,0.65,0.43,0.43,2.53,-0.5,2.03,0.0084,2.8,243200
7650,8000.0,33.11,23.95,9.09,0.067,0.002,-0.007,1.674,-0.007,0.65,0.46,0.47,2.5,-0.48,2.02,0.0303,2.8,244800
7700,8000.0,29.66,20.44,9.06,0.155,0.007,-0.006,1.594,-0.006,0.64,0.34,0.36,2.5,-0.49,2.01,0.0152,2.8,246400
7750,8000.0,30.38,21.17,9.03,0.173,0.009,-0.006,1.744,-0.005,0.72,0.46,0.47,2.5,-0.5,2.0,0.0143,2.8,248000
7800,8000.0,23.95,16.12,7.78,0.053,0.001,0.0,1.589,0.0,0.66,0.23,0.23,2.48,-0.49,1.99,0.0189,2.8,249600
7850,8000.0,25.54,17.19,8.23,0.11,0.008,-0.007,1.792,-0.007,0.55,0.32,0.33,2.47,-0.5,1.97,0.0187,2.8,251200
7900,8000.0,23.38,15.09,8.16,0.121,0.008,0.0,1.956,0.0,0.54,0.29,0.31,2.46,-0.5,1.96,0.0061,2.8,252800
7950,8000.0,25.55,16.68,8.78,0.077,0.008,-0.001,1.649,-0.001,0.57,0.28,0.27,2.42,-0.49,1.93,0.0122,2.8,254400
8000,8000.0,28.41,20.01,8.27,0.124,0.007,-0.001,1.701,-0.001,0.53,0.57,0.57,2.4,-0.5,1.91,0.0166,2.8,256000
